Comment,Designator,Footprint,LCSC,Quantity
220Ω,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02,J6,PinHeader_1x02_P2.54mm_Vertical,,1
1.2kΩ,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
1.2kΩ,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
2kΩ,R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,IMU1,ICM-20948,,1
1.2kΩ,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
LED_RGAB,D1,LED_D5.0mm-4_RGB_Staggered_Pins,,1
1.2kΩ,R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
1.2kΩ,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
1.2kΩ,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,ESC1,ESCs,,1
~,ESC4,ESCs,,1
~,ToF3,ToF_VL53L0X,,1
Conn_01x02_Pin,J4,PinHeader_1x02_P2.54mm_Vertical,,1
~,M4,PinHeader_Motor_Encoder,,1
~,M2,PinHeader_Motor_Encoder,,1
1.2kΩ,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,ToF1,ToF_VL53L0X,,1
~,ToF2,ToF_VL53L0X,,1
220Ω,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
2kΩ,R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,StepDown5V5A1,Step_Down_5V_5A_D24V50F5,,1
10uF,C4,CP_Radial_D5.0mm_P2.00mm,,1
1.2kΩ,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,MotorDriver2,DRV8833 Dual Motor Driver,,1
100nF,C3,C_Disc_D3.0mm_W2.0mm_P2.50mm,,1
SW_DIP_x03,SW1,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,,1
100nF,C1,C_Disc_D3.0mm_W2.0mm_P2.50mm,,1
Battery & Power SW,J1,Power_Switch_inputt,,1
~,ToF5,ToF_VL53L0X,,1
Conn_01x02,J5,PinHeader_1x02_P2.54mm_Vertical,,1
1.2kΩ,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,M1,PinHeader_Motor_Encoder,,1
2kΩ,R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,Buzzer1,Buzzer-Active,,1
2kΩ,R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
2kΩ,R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,ESC2,ESCs,,1
PCA9685,J3,PCA9685_Breakout,,1
1.2kΩ,R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,ESC3,ESCs,,1
220Ω,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
LED_RGAB,D2,LED_D5.0mm-4_RGB_Staggered_Pins,,1
Pico,U1,RPi_Pico_SMD_TH,,1
1.2kΩ,R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
220Ω,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,ToF4,ToF_VL53L0X,,1
2kΩ,R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
1.2kΩ,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
2kΩ,R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,StepDown5V3.2A1,Step Down 5V 3.2A,,1
220Ω,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,TCA9548A1,TCA9548A_Multiplexer_I2C,,1
10uF,C2,CP_Radial_D5.0mm_P2.00mm,,1
~,M3,PinHeader_Motor_Encoder,,1
2kΩ,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
~,Power1,Power_PinHeader_4,,1
220Ω,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
GPIO,J2,PinSocket_2x20_P2.54mm_Vertical,,1
